Organism,Annotation,Common Name,Samples Cov > 15,Census size est,Conservation,Notes,snpArcher,Reference
Petroica traversi,0,Black robin,27,3.00E+02,VU,,,
Nipponia nippon,1,Asian crested ibis,71,3.30E+02,EN,,,
Calidris pygmaea,0,Spoon-billed sandpiper,13,4.90E+02,CR,rapidly declining population,,
Lophura swinhoii,0,Swinhoe's pheasant,7,5.00E+03,NT,declining,,
Pavo muticus,0,Green Peafowl,12,1.50E+04,EN,,,
Chloebia gouldiae,1,Gouldian Finch,1,2.50E+04,LC,,,
Falco deiroleucus,0,Orange-breasted falcon,14,5.00E+04,NT,,,
Aix galericulata,1,Mandarin Duck,4,6.50E+04,LC,frequently introduced/domesticated,,
Anser cygnoides,1,Swan goose,0,9.00E+04,VU,,,
Catharus bicknelli,0,Bicknell's Thrush,14,1.20E+05,VU,,,
Centrocercus urophasianus,1,Sage grouse,3,1.50E+05,NT,,,
Zosterops borbonicus,1,Reunion Grey White-eye,18,3.00E+05,LC,,,
Falco peregrinus,1,Peregrine falcon,31,3.75E+05,LC,,YES,
Ficedula albicollis,1,Collared flycatcher,235,4.50E+06,LC,,YES,
Calidris pugnax,1,Ruff,3,5.77E+06,LC,SRP058220; high variance on census size,,
Acrocephalus arundinaceus,0,Great reed warbler,12,7.30E+06,LC,,,
Melozone crissalis,1,California Towhee,0,7.50E+06,LC,,,
Empidonax traillii,1,Willow flycatcher,37,8.10E+06,LC,,,
Calypte anna,1,Anna's hummingbird,2,9.60E+06,LC,,,
Pygoscelis adeliae,1,Adelie penguin,68,1.00E+07,LC,,,
Certhia americana,0,American Treecreeper,20,1.10E+07,LC,,,
Alectoris rufa,0,Red-legged Partridge,59,1.18E+07,NT,,,
Anas platyrhynchos,1,Mallard,96,1.90E+07,LC,min est for pop; frequently introduced/domesticated; many BioProjects are not wild samples,YES,
Catharus minimus,0,Grey-cheecked Thrush,11,4.60E+07,LC,,,
Corvus spp,1,Carrion crow,??,8.49E+07,LC,complicated resequencing data across several crow species; additional bioprojects if searched,YES,
Empidonax alnorum,0,Alder flycatcher,19,1.20E+08,LC,,,
Sylvia atricapilla,0,Blackcap,112,1.32E+08,LC,,YES,
Sturnus vulgaris,1,European Starling,27,1.50E+08,LC,,,
Zonotrichia albicollis,1,White-throated sparrow,15,1.60E+08,LC,no good actual wild samples,,
Passer montanus,1,Eurasian Tree Sparrow,2,1.99E+08,LC,not enough high coverage individuals,,
Columba livia,1,Rock dove,133,2.60E+08,LC,widely introduced; no good wild samples,,
Hirundo rustica,1,Barn swallow,2,4.00E+08,LC,not enough high coverage individuals,YES,
Parus major,1,Great Tit,30,5.70E+08,LC,,YES,
Passer domesticus,0,House sparrow,11,1.10E+09,LC,widely introduced,YES,
Athene cunicularia,1,Burrowing Owl,98,NA*,LC,"""extremely large""",YES,
Brachypodius atriceps,1,Black-headed bulbul,7,NA*,LC,"""large and stable""",,
Camarhynchus parvulus,1,Small tree-finch,14,NA*,LC,"""fairly common""",,
Colaptes auratus,0,Yellow-shafted Flicker,2,NA*,LC,,,
Coturnix japonica,1,Japanese Quail,87,NA*,NT,"""less common than previously thought""",YES,
Cyanistes caeruleus,1,Eurasian Blue Tit,75,NA*,LC,"""increasing""",,
Cyanoderma ruficeps,0,Rufous-capped babbler,26,NA*,LC,"""declining""",,
Dryobates pubescens,1,Downy woodpecker,2,NA*,LC,"""stable""",,
Emberiza elegans,0,Yellow-throated bunting,49,NA*,LC,"""fairly common""",,
Eopsaltria australis,0,Eastern yellow robin,0,NA*,LC,"""increasing, fairly common""",YES,
Geospiza fortis,1,Medium ground finch,21,NA*,LC,"""fairly common""",,
Lophura nycthemera,0,Silver pheasant,13,NA*,LC,,,
Malurus alboscapulatus,0,White-shouldered fairy-wren,0,NA*,LC,,,
Montifringilla adamsi,0,Black-winged Snowfinch,12,NA*,LC,,,
Numida meleagris,1,Helmeted Guineafowl,93,NA*,LC,,,
Onychostruthus taczanowskii,1,White-rumped snowfinch,12,NA*,LC,,,
Phylloscopus whistleri,0,Whistler's warbler,5,NA*,LC,,,
Pogoniulus pusillus,0,Red-fronted Tinkerbird,10,NA*,LC,,,
Pseudopodoces humilis,1,Ground tit,9,NA*,LC,,,
Pyrgilauda ruficollis,1,Rufous-necked Snowfinch,12,NA*,LC,,,
Sporophila hypoxantha,0,Tawny-bellied Seedeater,0,NA*,LC,,,
Taeniopygia guttata,1,Zebra finch,35,NA*,LC,,YES,